INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182009255,03301,Verbal Disputes,VERBAL DISPUTE,E18,495,,2018-02-04 16:30:00,2018,2,Sunday,16,Part Three,WEST ST,42.26128526,-71.12155250,"(42.26128526, -71.12155250)"
I182009254,01402,Vandalism,VANDALISM,B3,428,,2018-02-03 17:30:00,2018,2,Saturday,17,Part Two,WILDWOOD ST,42.28236818,-71.08972869,"(42.28236818, -71.08972869)"
I182009252,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E18,480,,2018-02-02 16:10:00,2018,2,Friday,16,Part One,FAIRLAWN AVE,42.26788791,-71.10067012,"(42.26788791, -71.10067012)"
I182009251,03115,Investigate Person,INVESTIGATE PERSON,D14,784,,2018-02-04 14:42:00,2018,2,Sunday,14,Part Three,CAMBRIDGE ST,42.34996240,-71.14762531,"(42.34996240, -71.14762531)"
I182009249,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,321,,2018-02-04 15:58:00,2018,2,Sunday,15,Part Two,ELM HILL PARK,42.31285118,-71.08306168,"(42.31285118, -71.08306168)"
I182009248,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E18,529,,2018-02-04 15:47:00,2018,2,Sunday,15,Part Three,COMO RD,42.24134226,-71.14213265,"(42.24134226, -71.14213265)"
I182009247,03115,Investigate Person,INVESTIGATE PERSON,B3,434,,2018-02-03 13:00:00,2018,2,Saturday,13,Part Three,CAPEN ST,42.28387658,-71.08099354,"(42.28387658, -71.08099354)"
I182009246,01402,Vandalism,VANDALISM,B3,432,,2018-02-04 16:26:00,2018,2,Sunday,16,Part Two,JACOB ST,42.28541846,-71.08366378,"(42.28541846, -71.08366378)"
I182009244,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,295,,2018-02-04 15:20:00,2018,2,Sunday,15,Part Three,DABNEY ST,42.32451689,-71.08377030,"(42.32451689, -71.08377030)"
I182009242,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,309,,2018-02-04 16:51:00,2018,2,Sunday,16,Part Two,MARTIN LUTHER KING JR BLV,42.31860134,-71.08405792,"(42.31860134, -71.08405792)"
I182009239,03410,Towed,TOWED MOTOR VEHICLE,D14,778,,2018-02-04 13:58:00,2018,2,Sunday,13,Part Three,WASHINGTON ST,42.34905600,-71.15049850,"(42.34905600, -71.15049850)"
I182009237,00613,Larceny,LARCENY SHOPLIFTING,C6,186,,2018-02-04 14:11:00,2018,2,Sunday,14,Part One,ALLSTATE RD,42.32696647,-71.06198607,"(42.32696647, -71.06198607)"
I182009236,03501,Missing Person Reported,MISSING PERSON,B2,281,,2018-02-04 15:46:00,2018,2,Sunday,15,Part Three,GREENVILLE ST,42.32696802,-71.08051941,"(42.32696802, -71.08051941)"
I182009236,03502,Missing Person Located,MISSING PERSON - LOCATED,B2,281,,2018-02-04 15:46:00,2018,2,Sunday,15,Part Three,GREENVILLE ST,42.32696802,-71.08051941,"(42.32696802, -71.08051941)"
I182009232,03301,Verbal Disputes,VERBAL DISPUTE,, ,,2018-02-04 15:22:00,2018,2,Sunday,15,Part Three,DORCHESTER,-1.00000000,-1.00000000,"(-1.00000000, -1.00000000)"
I182009230,03115,Investigate Person,INVESTIGATE PERSON,D4,130,,2018-02-04 15:10:00,2018,2,Sunday,15,Part Three,BOYLSTON ST,42.34980175,-71.07840978,"(42.34980175, -71.07840978)"
I182009229,00301,Robbery,ROBBERY - STREET,D4,141,,2018-02-04 14:37:00,2018,2,Sunday,14,Part One,HEREFORD ST,42.34894667,-71.08574065,"(42.34894667, -71.08574065)"
I182009228,03810,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING �BICYCLE - INJURY,B2,238,,2018-02-04 14:54:00,2018,2,Sunday,14,Part Three,DUDLEY ST,42.31813522,-71.06763388,"(42.31813522, -71.06763388)"
I182009227,00613,Larceny,LARCENY SHOPLIFTING,B2,593,,2018-02-04 15:07:00,2018,2,Sunday,15,Part One,LONGWOOD AVE,42.33857000,-71.10670681,"(42.33857000, -71.10670681)"
I182009226,03114,Investigate Property,INVESTIGATE PROPERTY,C6,213,,2018-02-04 14:57:00,2018,2,Sunday,14,Part Three,ATHENS ST,42.33780344,-71.04817772,"(42.33780344, -71.04817772)"
I182009223,03201,Property Lost,PROPERTY - LOST,D4,627,,2018-02-04 14:03:00,2018,2,Sunday,14,Part Three,KILMARNOCK ST,42.34353469,-71.09980109,"(42.34353469, -71.09980109)"
I182009222,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,E13,582,,2018-02-02 22:00:00,2018,2,Friday,22,Part One,CREIGHTON ST,42.32276657,-71.10838774,"(42.32276657, -71.10838774)"
I182009221,03205,License Plate Related Incidents,M/V PLATES - LOST,C11,452,,2018-01-30 21:30:00,2018,1,Tuesday,21,Part Three,WASHINGTON ST,42.29569680,-71.07214055,"(42.29569680, -71.07214055)"
I182009220,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,630,,2018-01-30 00:00:00,2018,1,Tuesday,0,Part Three,BUSWELL ST,42.34730994,-71.10634646,"(42.34730994, -71.10634646)"
I182009218,03201,Property Lost,PROPERTY - LOST,B3,447,,2018-02-04 14:50:00,2018,2,Sunday,14,Part Three,NORWELL ST,42.29512751,-71.07820832,"(42.29512751, -71.07820832)"
I182009217,03114,Investigate Property,INVESTIGATE PROPERTY,D14,793,,2018-02-04 13:09:00,2018,2,Sunday,13,Part Three,SCOTTFIELD RD,42.34751259,-71.13689285,"(42.34751259, -71.13689285)"
I182009216,00801,Simple Assault,ASSAULT - SIMPLE,D4,171,,2018-02-04 11:45:00,2018,2,Sunday,11,Part Two,HARRISON AVE,42.33555954,-71.07436364,"(42.33555954, -71.07436364)"
I182009216,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,171,,2018-02-04 11:45:00,2018,2,Sunday,11,Part Two,HARRISON AVE,42.33555954,-71.07436364,"(42.33555954, -71.07436364)"
I182009216,02610,Other,TRESPASSING,D4,171,,2018-02-04 11:45:00,2018,2,Sunday,11,Part Two,HARRISON AVE,42.33555954,-71.07436364,"(42.33555954, -71.07436364)"
I182009216,02405,Disorderly Conduct,DISORDERLY CONDUCT,D4,171,,2018-02-04 11:45:00,2018,2,Sunday,11,Part Two,HARRISON AVE,42.33555954,-71.07436364,"(42.33555954, -71.07436364)"
I182009216,02647,Other,THREATS TO DO BODILY HARM,D4,171,,2018-02-04 11:45:00,2018,2,Sunday,11,Part Two,HARRISON AVE,42.33555954,-71.07436364,"(42.33555954, -71.07436364)"
I182009215,01402,Vandalism,VANDALISM,, ,,2018-02-04 08:30:00,2018,2,Sunday,8,Part Two,,42.33142190,-71.09437514,"(42.33142190, -71.09437514)"
I182009214,03301,Verbal Disputes,VERBAL DISPUTE,E13,906,,2018-02-04 13:27:00,2018,2,Sunday,13,Part Three,HEATH ST,42.32610077,-71.10433335,"(42.32610077, -71.10433335)"
I182009212,03301,Verbal Disputes,VERBAL DISPUTE,B2,280,,2018-02-04 13:37:00,2018,2,Sunday,13,Part Three,DUDLEY ST,42.32872589,-71.08382217,"(42.32872589, -71.08382217)"
I182009211,00617,Larceny,LARCENY THEFT FROM BUILDING,E5,723,,2018-02-04 13:36:00,2018,2,Sunday,13,Part One,VFW PKWY,42.26623736,-71.16843346,"(42.26623736, -71.16843346)"
I182009209,00613,Larceny,LARCENY SHOPLIFTING,D14,804,,2018-02-04 12:35:00,2018,2,Sunday,12,Part One,EVERETT ST,42.35595391,-71.13852468,"(42.35595391, -71.13852468)"
I182009208,00617,Larceny,LARCENY THEFT FROM BUILDING,A1,109,,2018-02-04 01:00:00,2018,2,Sunday,1,Part One,HIGH ST,42.35649296,-71.05259107,"(42.35649296, -71.05259107)"
I182009207,02629,Harassment,HARASSMENT,C6,214,,2018-02-04 09:30:00,2018,2,Sunday,9,Part Two,W FOURTH ST,42.33759774,-71.05089010,"(42.33759774, -71.05089010)"
I182009205,03115,Investigate Person,INVESTIGATE PERSON,E5,724,,2018-02-04 11:21:00,2018,2,Sunday,11,Part Three,SPRING ST,42.27129343,-71.17225873,"(42.27129343, -71.17225873)"
I182009203,03301,Verbal Disputes,VERBAL DISPUTE,E5,712,,2018-02-04 12:02:00,2018,2,Sunday,12,Part Three,FREEMAN AVE,42.26322593,-71.15678746,"(42.26322593, -71.15678746)"
I182009202,03301,Verbal Disputes,VERBAL DISPUTE,, ,,2018-02-04 12:37:00,2018,2,Sunday,12,Part Three,NORMANDY,-1.00000000,-1.00000000,"(-1.00000000, -1.00000000)"
I182009201,03115,Investigate Person,INVESTIGATE PERSON,, ,,2018-02-04 12:12:00,2018,2,Sunday,12,Part Three,DUDLEY,-1.00000000,-1.00000000,"(-1.00000000, -1.00000000)"
I182009200,01402,Vandalism,VANDALISM,D4,156,,2018-02-04 11:59:00,2018,2,Sunday,11,Part Two,MASSACHUSETTS AVE,42.33760719,-71.07825820,"(42.33760719, -71.07825820)"
I182009199,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,79,,2018-02-03 12:00:00,2018,2,Saturday,12,Part Three,THACHER ST,42.36528934,-71.05762284,"(42.36528934, -71.05762284)"
I182009198,02610,Other,TRESPASSING,D4,143,,2018-02-04 11:48:00,2018,2,Sunday,11,Part Two,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)"
I182009197,03201,Property Lost,PROPERTY - LOST,E18,483,,2018-02-04 12:10:00,2018,2,Sunday,12,Part Three,MONPONSET ST,42.26368029,-71.09968298,"(42.26368029, -71.09968298)"
I182009196,03114,Investigate Property,INVESTIGATE PROPERTY,B3,413,,2018-02-04 11:23:00,2018,2,Sunday,11,Part Three,OAKRIDGE ST,42.27700963,-71.07431626,"(42.27700963, -71.07431626)"
I182009194,03301,Verbal Disputes,VERBAL DISPUTE,E5,822,,2018-02-04 11:18:00,2018,2,Sunday,11,Part Three,GEORGETOWNE DR,42.25661385,-71.14449037,"(42.25661385, -71.14449037)"
I182009193,03803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,C11,254,,2018-02-04 10:50:00,2018,2,Sunday,10,Part Three,DEWAR ST,42.30995208,-71.05788994,"(42.30995208, -71.05788994)"
I182009193,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY �DAMAGE,C11,254,,2018-02-04 10:50:00,2018,2,Sunday,10,Part Three,DEWAR ST,42.30995208,-71.05788994,"(42.30995208, -71.05788994)"
I182009192,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,444,,2018-02-04 11:24:00,2018,2,Sunday,11,Part Three,ABBOT ST,42.29686162,-71.08584183,"(42.29686162, -71.08584183)"
I182009191,00361,Robbery,ROBBERY - OTHER,E18,522,,2018-02-04 11:07:00,2018,2,Sunday,11,Part One,HYDE PARK AVE,42.25332979,-71.12467152,"(42.25332979, -71.12467152)"
I182009190,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D14,771,,2018-02-04 05:00:00,2018,2,Sunday,5,Part One,EASTBURN ST,42.34760128,-71.15688618,"(42.34760128, -71.15688618)"
I182009189,03115,Investigate Person,INVESTIGATE PERSON,D14,799,,2018-02-04 10:39:00,2018,2,Sunday,10,Part Three,ASHFORD ST,42.35454980,-71.12746278,"(42.35454980, -71.12746278)"
I182009187,03807,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER CITY VEHICLE,A1,80,,2018-02-04 11:02:00,2018,2,Sunday,11,Part Three,MARGARET ST,42.36570319,-71.05580301,"(42.36570319, -71.05580301)"
I182009186,03001,Medical Assistance,DEATH INVESTIGATION,D14,775,,2018-02-04 09:27:00,2018,2,Sunday,9,Part Three,WALLINGFORD RD,42.34252336,-71.15124869,"(42.34252336, -71.15124869)"
I182009184,00619,Larceny,LARCENY ALL OTHERS,D14,803,,2018-02-04 11:20:00,2018,2,Sunday,11,Part One,CAMBRIDGE ST,42.35515405,-71.13363463,"(42.35515405, -71.13363463)"
I182009183,01402,Vandalism,VANDALISM,D4,271,,2018-02-04 10:41:00,2018,2,Sunday,10,Part Two,HARRISON AVE,42.33401829,-71.07638124,"(42.33401829, -71.07638124)"
I182009183,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,271,,2018-02-04 10:41:00,2018,2,Sunday,10,Part Two,HARRISON AVE,42.33401829,-71.07638124,"(42.33401829, -71.07638124)"
I182009182,01402,Vandalism,VANDALISM,A7,12,,2018-02-03 20:00:00,2018,2,Saturday,20,Part Two,BENNINGTON ST,42.38504097,-71.01144733,"(42.38504097, -71.01144733)"
I182009181,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C6,256,,2018-02-04 10:36:00,2018,2,Sunday,10,Part Three,MOUNT VERNON ST,42.31779354,-71.04210959,"(42.31779354, -71.04210959)"
INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182009324,03115,Investigate Person,INVESTIGATE PERSON,B2,321,,2018-02-04 20:32:00,2018,2,Sunday,20,Part Three,BLUE HILL AVE,42.30952511,-71.08261838,"(42.30952511, -71.08261838)"
I182009319,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,354,,2018-02-04 21:31:00,2018,2,Sunday,21,Part Two,ADAMS ST,42.29807739,-71.05695195,"(42.29807739, -71.05695195)"
I182009313,01402,Vandalism,VANDALISM,C6,914,,2018-02-04 20:44:00,2018,2,Sunday,20,Part Two,OLD COLONY AVE,42.32422562,-71.05242608,"(42.32422562, -71.05242608)"
I182009311,03410,Towed,TOWED MOTOR VEHICLE,C11,247,,2018-02-04 16:40:00,2018,2,Sunday,16,Part Three,PEARL ST,42.31493506,-71.05834852,"(42.31493506, -71.05834852)"
I182009309,03114,Investigate Property,INVESTIGATE PROPERTY,E13,638,,2018-02-04 20:51:16,2018,2,Sunday,20,Part Three,DANFORTH ST,42.31755171,-71.10534530,"(42.31755171, -71.10534530)"
I182009306,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,397,,2018-02-04 20:23:00,2018,2,Sunday,20,Part Three,CENTRE ST,42.29156264,-71.06713211,"(42.29156264, -71.06713211)"
I182009301,01402,Vandalism,VANDALISM,C6,215,,2018-02-04 20:32:00,2018,2,Sunday,20,Part Two,E ST,42.33601452,-71.05139619,"(42.33601452, -71.05139619)"
I182009300,01402,Vandalism,VANDALISM,B3,429,,2018-02-04 20:16:00,2018,2,Sunday,20,Part Two,MORTON ST,42.28194827,-71.08742318,"(42.28194827, -71.08742318)"
I182009297,03111,License Violation,LICENSE PREMISE VIOLATION,A7,27,,2018-02-04 20:21:00,2018,2,Sunday,20,Part Three,MAVERICK ST,42.37029336,-71.03925861,"(42.37029336, -71.03925861)"
I182009293,00613,Larceny,LARCENY SHOPLIFTING,A1,102,,2018-02-04 19:22:00,2018,2,Sunday,19,Part One,WINTER ST,42.35602373,-71.06177615,"(42.35602373, -71.06177615)"
I182009292,02629,Harassment,HARASSMENT,E18,501,,2018-02-04 19:40:00,2018,2,Sunday,19,Part Two,HYDE PARK AVE,42.28063521,-71.11889610,"(42.28063521, -71.11889610)"
I182009290,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,186,,2018-02-04 19:20:00,2018,2,Sunday,19,Part Three,BOSTON ST,42.32593682,-71.05885279,"(42.32593682, -71.05885279)"
I182009286,03207,Property Found,PROPERTY - FOUND,, ,,2018-02-04 19:20:00,2018,2,Sunday,19,Part Three,,42.28429865,-71.09154342,"(42.28429865, -71.09154342)"
I182009280,03301,Verbal Disputes,VERBAL DISPUTE,D4,271,,2018-02-04 18:30:00,2018,2,Sunday,18,Part Three,WASHINGTON ST,42.33537410,-71.07831560,"(42.33537410, -71.07831560)"
I182009279,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,438,,2018-02-04 18:10:00,2018,2,Sunday,18,Part One,TALBOT AVE,42.29125387,-71.07551334,"(42.29125387, -71.07551334)"
I182009278,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,120,,2018-02-04 17:32:00,2018,2,Sunday,17,Part Two,PARK PLZ,42.35162789,-71.06866410,"(42.35162789, -71.06866410)"
I182009277,02647,Other,THREATS TO DO BODILY HARM,C11,397,,2018-02-04 17:56:00,2018,2,Sunday,17,Part Two,CENTRE ST,42.29070005,-71.06991285,"(42.29070005, -71.06991285)"
I182009276,03805,Motor Vehicle Accident Response,M/V ACCIDENT - POLICE VEHICLE,E13,303,,2018-02-03 00:00:00,2018,2,Saturday,0,Part Three,AMORY ST,42.32171760,-71.09846743,"(42.32171760, -71.09846743)"
I182009275,03301,Verbal Disputes,VERBAL DISPUTE,, ,,2018-02-04 17:42:00,2018,2,Sunday,17,Part Three,BISMARCK,-1.00000000,-1.00000000,"(-1.00000000, -1.00000000)"
I182009274,03115,Investigate Person,INVESTIGATE PERSON,C11,462,,2018-02-04 17:21:00,2018,2,Sunday,17,Part Three,NOTTINGHAM ST,42.30116811,-71.07347571,"(42.30116811, -71.07347571)"
I182009272,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,428,,2018-02-04 18:02:00,2018,2,Sunday,18,Part Three,HOSMER ST,42.28079658,-71.09039724,"(42.28079658, -71.09039724)"
I182009270,03803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,A7,28,,2018-02-04 17:48:00,2018,2,Sunday,17,Part Three,LONDON ST,42.37382246,-71.03842544,"(42.37382246, -71.03842544)"
I182009267,00619,Larceny,LARCENY ALL OTHERS,C6,236,,2018-02-04 15:28:00,2018,2,Sunday,15,Part One,ROSECLAIR ST,42.32082017,-71.06010572,"(42.32082017, -71.06010572)"
I182009267,03201,Property Lost,PROPERTY - LOST,C6,236,,2018-02-04 15:28:00,2018,2,Sunday,15,Part Three,ROSECLAIR ST,42.32082017,-71.06010572,"(42.32082017, -71.06010572)"
I182009266,03207,Property Found,PROPERTY - FOUND,, ,,2018-02-04 18:10:00,2018,2,Sunday,18,Part Three,,42.28429865,-71.09154342,"(42.28429865, -71.09154342)"
I182009264,03207,Property Found,PROPERTY - FOUND,, ,,2018-02-04 18:08:00,2018,2,Sunday,18,Part Three,,42.28429865,-71.09154342,"(42.28429865, -71.09154342)"
I182009263,03207,Property Found,PROPERTY - FOUND,, ,,2018-02-04 18:05:00,2018,2,Sunday,18,Part Three,,42.28429865,-71.09154342,"(42.28429865, -71.09154342)"
I182009258,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,239,,2018-02-04 17:15:00,2018,2,Sunday,17,Part Three,DUDLEY ST,42.31715877,-71.06543173,"(42.31715877, -71.06543173)"
I182009257,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,E18,517,,2018-02-04 17:06:00,2018,2,Sunday,17,Part Two,GARFIELD AVE,42.24537314,-71.11985995,"(42.24537314, -71.11985995)"
I182009256,03304,Assembly or Gathering Violations,NOISY PARTY/RADIO-NO ARREST,C6,212,,2018-02-04 16:26:00,2018,2,Sunday,16,Part Three,DORCHESTER ST,42.33686889,-71.04379437,"(42.33686889, -71.04379437)"
I182009255,03301,Verbal Disputes,VERBAL DISPUTE,E18,495,,2018-02-04 16:30:00,2018,2,Sunday,16,Part Three,WEST ST,42.26128526,-71.12155250,"(42.26128526, -71.12155250)"
I182009254,01402,Vandalism,VANDALISM,B3,428,,2018-02-03 17:30:00,2018,2,Saturday,17,Part Two,WILDWOOD ST,42.28236818,-71.08972869,"(42.28236818, -71.08972869)"
I182009252,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E18,480,,2018-02-02 16:10:00,2018,2,Friday,16,Part One,FAIRLAWN AVE,42.26788791,-71.10067012,"(42.26788791, -71.10067012)"
I182009251,03115,Investigate Person,INVESTIGATE PERSON,D14,784,,2018-02-04 14:42:00,2018,2,Sunday,14,Part Three,CAMBRIDGE ST,42.34996240,-71.14762531,"(42.34996240, -71.14762531)"
I182009249,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,321,,2018-02-04 15:58:00,2018,2,Sunday,15,Part Two,ELM HILL PARK,42.31285118,-71.08306168,"(42.31285118, -71.08306168)"
I182009248,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E18,529,,2018-02-04 15:47:00,2018,2,Sunday,15,Part Three,COMO RD,42.24134226,-71.14213265,"(42.24134226, -71.14213265)"
I182009247,03115,Investigate Person,INVESTIGATE PERSON,B3,434,,2018-02-03 13:00:00,2018,2,Saturday,13,Part Three,CAPEN ST,42.28387658,-71.08099354,"(42.28387658, -71.08099354)"
